Lat,Lng,City,Country,Temperature,Humidity,Cloud cover,Wind speed,Date,Hotel Name
40.5971,70.9607,mangit,uz,32.6,17.0,0.0,2.25,2021-07-23 05:13:43,Dangara Hotel
40.4272,71.7189,komsomolskiy,ru,31.68,27.0,0.0,2.06,2021-07-23 05:13:49,TANTANA HOTEL FERGANA
26.9167,87.9167,ilam,ir,26.23,80.0,16.0,2.5,2021-07-23 05:13:57,Summit Hotel
33.6668,-95.5836,lamar,us,26.81,88.0,1.0,2.57,2021-07-23 05:14:01,Days Inn by Wyndham Paris
-20.7833,117.1333,roebourne,au,29.59,20.0,12.0,4.12,2021-07-23 05:14:24,Latitude20 Roebourne Village
-3.6667,152.4333,namatanai,pg,28.64,70.0,18.0,3.57,2021-07-23 05:14:44,Namatanai Hotel
35.1333,140.3,katsuura,jp,34.06,68.0,16.0,3.91,2021-07-23 05:14:51,Katsuura Hotel Mikazuki
37.1041,-113.5841,saint george,bm,25.91,75.0,1.0,0.45,2021-07-23 05:15:05,Inn on The Cliff St. George
44.5978,132.8211,spassk-dalniy,ru,35.25,42.0,15.0,3.84,2021-07-23 05:15:07,Dubrava
-20.7333,139.5,mount isa,au,29.87,15.0,18.0,5.66,2021-07-23 05:16:03,Isa Hotel
31.4165,31.8133,damietta,eg,25.94,72.0,0.0,6.28,2021-07-23 05:16:18,فندق المنشي دمياط
35.5729,53.3971,semnan,ir,33.33,14.0,19.0,1.44,2021-07-23 05:16:20,Semnan Traditional Hotel
28.5833,65.4167,kharan,pk,35.92,23.0,0.0,2.87,2021-07-23 05:16:47,Mansoor Hotel & Restaurant
29.3669,-94.9669,galveston,us,28.98,88.0,1.0,0.45,2021-07-23 05:14:58,"Scottish Inns & Suites Texas City, TX"
29.6994,-91.2068,morgan city,us,27.22,100.0,1.0,1.54,2021-07-23 05:15:25,"Holiday Inn Express & Suites Morgan City - Tiger Island, an IHG Hotel"
22.8909,-109.9124,cabo san lucas,mx,29.89,77.0,0.0,2.24,2021-07-23 05:14:31,"The Cape, A Thompson Hotel"
36.6217,29.1164,fethiye,tr,28.93,41.0,2.0,1.64,2021-07-23 05:17:48,Orka World Hotel & Aqua Park
34.8791,-76.9013,havelock,us,25.52,83.0,8.0,0.89,2021-07-23 05:18:22,Hampton Inn Havelock
-2.2717,40.902,lamu,ke,26.12,74.0,9.0,7.65,2021-07-23 05:15:00,The Majlis Hotel Lamu
18.4167,-64.6167,road town,vg,27.89,81.0,1.0,9.38,2021-07-23 05:14:39,Wyndham Tortola BVI Lambert Beach Resort
43.133,-115.6912,mountain home,us,26.55,25.0,1.0,3.6,2021-07-23 05:18:37,Hampton Inn & Suites Mountain Home
51.6199,73.1033,ereymentau,kz,26.3,30.0,0.0,2.7,2021-07-23 05:18:42,"Gostinitsa ""Alem"""
27.9167,96.1667,tezu,in,34.65,57.0,12.0,1.02,2021-07-23 05:18:46,Hotel Taboka
-9.6567,120.2641,waingapu,id,30.24,47.0,8.0,6.79,2021-07-23 05:18:56,Padadita Beach Hotel
17.1561,-89.0714,san ignacio,bo,25.08,88.0,0.0,0.0,2021-07-23 05:19:05,Ka'ana Resort
31.6725,38.6637,turayf,sa,25.14,31.0,0.0,5.14,2021-07-23 05:19:07,Golden Dune Hotel
-19.0595,-169.9187,alofi,nu,25.94,89.0,10.0,3.09,2021-07-23 05:19:31,Taloa Heights
36.3868,4.3989,tazmalt,dz,27.82,31.0,0.0,2.11,2021-07-23 05:19:36,Hotel Rabah Syphax
36.2171,136.1519,mikuni,jp,29.95,70.0,4.0,3.39,2021-07-23 05:19:40,Grandia Housen
-11.3847,43.2844,mitsamiouli,km,25.07,68.0,10.0,7.14,2021-07-23 05:19:51,Al Camar Lodge
35.7299,50.8111,mahdasht,ir,34.12,51.0,0.0,2.06,2021-07-23 05:19:52,Mahbaf
38.421,-121.4238,laguna,br,29.91,48.0,1.0,2.57,2021-07-23 05:19:54,Hampton Inn & Suites Sacramento-Elk Grove Laguna I-5
32.3174,121.1855,juegang,cn,28.32,72.0,2.0,7.63,2021-07-23 05:19:55,Thank Inn Plus Hotel Jiangsu Nantong Rudong County Qianshuiwan Park
-2.8856,-40.12,acarau,br,25.76,80.0,6.0,7.51,2021-07-23 05:19:58,Hotel Riviera
-8.145,159.5921,buala,sb,29.15,70.0,13.0,2.98,2021-07-23 05:20:07,Ghaseali Island Resort
-8.103,156.8419,gizo,sb,28.95,71.0,13.0,1.68,2021-07-23 05:20:37,Imagination Island
-8.8432,121.6623,ende,id,29.02,59.0,16.0,2.92,2021-07-23 05:20:57,Global View Hotel
